timestamp,class,filename,augmentation,original_file
2025-08-28T17:26:15.116974,belly_pain,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp_aug0.wav,time_stretch(0.81),549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav
2025-08-28T17:26:15.118973,belly_pain,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp_aug1.wav,noise,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav
2025-08-28T17:26:15.129973,belly_pain,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp_aug2.wav,pitch(-1),549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav
2025-08-28T17:26:15.139039,belly_pain,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp_aug3.wav,pitch(-2),549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav
2025-08-28T17:26:15.141057,belly_pain,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp_aug4.wav,reverb,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav
2025-08-28T17:26:15.150984,belly_pain,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp_aug5.wav,time_stretch(1.04),549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav
2025-08-28T17:26:15.162506,belly_pain,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp_aug6.wav,time_stretch(0.81),549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav
2025-08-28T17:26:15.171517,belly_pain,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp_aug7.wav,pitch(-1),549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav
2025-08-28T17:26:15.173514,belly_pain,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp_aug8.wav,reverb,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav
2025-08-28T17:26:15.174516,belly_pain,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp_aug9.wav,reverb,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav
